dispute_id,txn_id,opened_date,reason_code,dispute_type,dispute_amount_uzs,status,resolved_date
36,1320,2026-01-04,quality,chargeback,601726,won,2026-01-30
37,1349,2025-07-28,duplicate,chargeback,45527,won,2025-08-06
38,1397,2026-01-06,fraud,chargeback,567204,lost,2026-01-30
39,1433,2025-12-08,subscription_cancel,retrieval_request,179660,lost,2025-12-22
40,1502,2025-11-02,quality,chargeback,548464,open,
41,1542,2025-10-18,duplicate,chargeback,98169,won,2025-10-23
42,1554,2025-06-24,product_not_received,chargeback,192874,lost,2025-07-04
43,1557,2026-01-23,product_not_received,retrieval_request,87144,won,2026-02-14
44,1656,2025-09-17,product_not_received,retrieval_request,83685,won,2025-09-27
45,1691,2025-10-25,product_not_received,retrieval_request,64081,open,
46,1733,2026-01-11,fraud,retrieval_request,1235415,won,2026-01-21
47,1764,2026-01-24,product_not_received,retrieval_request,251023,open,
48,1800,2025-09-13,quality,chargeback,58600,won,2025-10-10
49,1871,2025-03-28,product_not_received,retrieval_request,165228,open,
50,1877,2025-06-21,duplicate,chargeback,193797,won,2025-07-13
51,1882,2025-08-27,product_not_received,chargeback,26751,lost,2025-09-15
52,1909,2025-04-19,subscription_cancel,chargeback,62230,won,2025-04-27
53,1953,2025-09-17,product_not_received,chargeback,215039,lost,2025-10-10
54,2125,2025-06-19,quality,chargeback,358197,open,
55,2148,2025-08-25,quality,chargeback,169589,lost,2025-09-17
56,2247,2025-02-26,subscription_cancel,chargeback,171438,won,2025-03-05
57,2254,2025-05-31,fraud,chargeback,1620105,won,2025-06-16
58,2257,2025-09-29,duplicate,chargeback,27794,lost,2025-10-14
59,2270,2025-08-26,fraud,pre_arbitration,1501569,lost,2025-09-14
60,2286,2025-09-16,product_not_received,chargeback,189399,lost,2025-09-23
61,2363,2025-08-10,product_not_received,retrieval_request,108979,won,2025-08-15
62,2450,2025-11-09,duplicate,chargeback,255125,won,2025-11-28
63,2477,2025-03-27,fraud,retrieval_request,531931,lost,2025-04-02
64,2495,2025-12-06,fraud,retrieval_request,659657,won,2025-12-27
65,2572,2025-08-30,product_not_received,retrieval_request,529379,lost,2025-09-23
66,2595,2025-10-18,fraud,chargeback,657289,lost,2025-11-03
67,2597,2026-01-18,fraud,chargeback,770660,lost,2026-01-24
68,2732,2025-11-06,product_not_received,retrieval_request,132643,lost,2025-12-04
69,2786,2025-10-15,duplicate,retrieval_request,90841,lost,2025-11-02
70,2826,2025-06-27,quality,chargeback,30385,open,
71,2919,2025-08-05,fraud,retrieval_request,404836,won,2025-08-30
72,2942,2025-09-21,subscription_cancel,chargeback,2502744,won,2025-10-03
73,3063,2025-09-16,quality,chargeback,27238,won,2025-09-24
74,3067,2025-10-18,product_not_received,retrieval_request,76481,won,2025-11-03
75,3113,2025-08-04,quality,chargeback,170164,lost,2025-08-19
76,3127,2025-11-23,duplicate,chargeback,471848,lost,2025-12-05
77,3158,2025-09-27,product_not_received,retrieval_request,61222,lost,2025-10-19
78,3196,2025-10-08,product_not_received,chargeback,159376,won,2025-11-01
79,3292,2025-10-25,subscription_cancel,chargeback,25608,lost,2025-11-21
80,3351,2025-05-08,quality,chargeback,63570,won,2025-05-28
81,3367,2025-09-17,product_not_received,chargeback,60216,lost,2025-09-23
82,3373,2025-10-15,product_not_received,retrieval_request,101050,won,2025-11-06
83,3379,2025-12-07,subscription_cancel,chargeback,131915,won,2025-12-16
84,3390,2025-04-25,product_not_received,chargeback,463538,lost,2025-05-09
85,3408,2025-04-07,quality,pre_arbitration,19238,lost,2025-04-22
86,3449,2025-08-26,quality,chargeback,28402,open,
87,3539,2026-01-18,quality,retrieval_request,495527,open,
88,3556,2025-11-09,subscription_cancel,chargeback,100071,lost,2025-11-17
89,3574,2025-01-14,product_not_received,chargeback,70011,lost,2025-02-11
90,3685,2025-12-30,quality,pre_arbitration,61301,lost,2026-01-08
91,3689,2025-11-30,fraud,chargeback,1051725,won,2025-12-19
92,3723,2026-02-09,product_not_received,chargeback,208155,won,2026-03-06
93,3727,2025-01-28,product_not_received,chargeback,128346,lost,2025-02-06
94,3850,2025-10-06,subscription_cancel,chargeback,67760,won,2025-10-30
95,4018,2025-12-02,product_not_received,chargeback,333555,won,2025-12-16
96,4060,2025-05-05,quality,retrieval_request,691256,won,2025-05-19
97,4208,2025-10-26,product_not_received,chargeback,485048,won,2025-11-23
98,4227,2025-05-29,subscription_cancel,retrieval_request,248948,open,
99,4278,2025-08-04,duplicate,retrieval_request,228385,won,2025-08-14
100,4325,2026-01-26,product_not_received,chargeback,55202,lost,2026-02-14
101,4337,2025-11-18,product_not_received,chargeback,189257,lost,2025-11-26
102,4349,2025-11-07,product_not_received,pre_arbitration,1352688,open,
103,4373,2025-12-18,duplicate,chargeback,179349,lost,2026-01-06
104,4397,2025-07-10,fraud,chargeback,1066051,won,2025-08-06
105,4411,2025-10-12,duplicate,chargeback,176838,won,2025-10-26
106,4441,2025-08-14,fraud,chargeback,851627,won,2025-09-08
107,4559,2025-06-15,quality,chargeback,661440,lost,2025-07-12
108,4568,2025-08-11,quality,retrieval_request,290045,lost,2025-08-18
109,4572,2025-12-25,duplicate,retrieval_request,816994,won,2026-01-19
110,4691,2025-06-07,quality,retrieval_request,67985,lost,2025-06-16
111,4761,2025-04-20,product_not_received,chargeback,500664,lost,2025-05-19
112,4787,2025-06-28,product_not_received,chargeback,339827,lost,2025-07-23
113,4855,2025-12-22,quality,chargeback,26962,lost,2026-01-03
114,4859,2025-09-07,product_not_received,chargeback,49033,lost,2025-09-20
115,4880,2025-05-09,quality,retrieval_request,73904,lost,2025-05-30
116,4924,2025-03-05,product_not_received,retrieval_request,476299,won,2025-03-20
117,4929,2026-01-24,product_not_received,pre_arbitration,490034,open,
118,4945,2025-07-19,duplicate,pre_arbitration,67834,won,2025-07-30
119,4996,2026-01-10,fraud,chargeback,3743576,lost,2026-02-02
120,5000,2025-06-05,product_not_received,chargeback,248739,won,2025-07-05
121,5004,2025-11-29,product_not_received,chargeback,252783,open,
122,5012,2025-08-06,duplicate,retrieval_request,77913,lost,2025-08-11
123,5025,2025-09-25,duplicate,chargeback,25890,won,2025-10-23
124,5089,2025-02-14,fraud,chargeback,1105233,open,
125,5132,2025-05-12,product_not_received,retrieval_request,72249,won,2025-05-26
126,5282,2025-11-27,fraud,pre_arbitration,500340,won,2025-12-17
127,5425,2025-10-09,duplicate,chargeback,377682,lost,2025-10-29
128,5450,2025-11-28,product_not_received,retrieval_request,66409,lost,2025-12-14
129,5471,2025-09-16,fraud,chargeback,412264,won,2025-09-28
130,5518,2025-12-28,subscription_cancel,retrieval_request,184406,open,
131,5558,2026-01-20,product_not_received,chargeback,1391812,won,2026-02-15
132,5585,2025-05-29,fraud,retrieval_request,641174,lost,2025-06-13
133,5677,2025-12-19,duplicate,pre_arbitration,594611,lost,2026-01-05
134,5755,2025-10-09,duplicate,chargeback,188885,open,
135,5761,2025-06-11,product_not_received,retrieval_request,350657,won,2025-07-01
136,5765,2025-07-30,quality,chargeback,27872,open,
137,5812,2025-04-10,fraud,chargeback,523477,lost,2025-05-02
138,5832,2025-11-24,product_not_received,chargeback,74417,won,2025-12-05
139,5872,2025-04-28,product_not_received,chargeback,87137,lost,2025-05-20
140,5873,2025-09-29,product_not_received,retrieval_request,591353,lost,2025-10-09
141,5895,2025-02-27,product_not_received,chargeback,212878,won,2025-03-13
142,5906,2025-05-31,fraud,chargeback,1077851,lost,2025-06-14
143,5937,2025-11-21,fraud,chargeback,2621854,won,2025-11-27
144,5938,2025-04-27,duplicate,chargeback,1286963,won,2025-05-27
145,5988,2025-05-10,product_not_received,pre_arbitration,75676,lost,2025-05-21
146,5990,2025-05-03,subscription_cancel,chargeback,2014555,won,2025-05-25
147,5994,2025-02-12,product_not_received,chargeback,117817,won,2025-02-20
148,6038,2026-01-13,product_not_received,chargeback,43346,lost,2026-02-12
149,6044,2025-11-17,product_not_received,pre_arbitration,225398,won,2025-11-28
150,6067,2025-12-12,product_not_received,retrieval_request,76001,lost,2025-12-21
151,6081,2025-04-20,subscription_cancel,chargeback,149304,lost,2025-05-05
152,6122,2025-07-13,quality,chargeback,1650037,won,2025-07-22
153,6157,2025-06-05,quality,chargeback,247357,lost,2025-06-28
154,6169,2026-01-23,quality,retrieval_request,79197,won,2026-01-31
155,6209,2026-01-22,fraud,chargeback,1114093,lost,2026-02-21
156,6417,2025-12-08,duplicate,chargeback,20264,open,
157,6435,2025-07-06,product_not_received,chargeback,136383,open,
158,6455,2025-12-29,quality,retrieval_request,66523,lost,2026-01-08
159,6477,2026-01-15,duplicate,pre_arbitration,3671187,lost,2026-01-23
160,6518,2025-03-05,product_not_received,pre_arbitration,70485,won,2025-03-29
161,6526,2026-01-25,product_not_received,chargeback,175770,won,2026-02-01
162,6640,2025-06-16,quality,chargeback,425302,lost,2025-06-30
163,6789,2025-07-16,product_not_received,chargeback,339865,lost,2025-07-21
164,6866,2025-04-12,product_not_received,chargeback,319038,lost,2025-04-17
165,6933,2025-06-13,product_not_received,retrieval_request,123900,won,2025-06-22
166,6997,2025-12-04,product_not_received,retrieval_request,338207,lost,2025-12-09
167,7152,2025-12-31,product_not_received,chargeback,136988,won,2026-01-16
168,7222,2025-11-17,subscription_cancel,chargeback,32473,lost,2025-11-24
169,7230,2025-01-11,quality,retrieval_request,90286,won,2025-02-05
170,7235,2025-09-28,quality,chargeback,281717,lost,2025-10-09
171,7266,2025-07-23,product_not_received,retrieval_request,189125,lost,2025-08-10
172,7294,2025-09-22,quality,retrieval_request,27591,won,2025-10-13
173,7317,2025-12-18,subscription_cancel,chargeback,235884,won,2026-01-11
174,7348,2025-05-30,duplicate,retrieval_request,28781,lost,2025-06-09
175,7369,2025-06-29,fraud,chargeback,641242,won,2025-07-19
176,7409,2026-01-02,product_not_received,chargeback,149101,won,2026-01-13
177,7495,2025-06-20,duplicate,retrieval_request,67715,won,2025-07-14
178,7519,2025-08-29,product_not_received,chargeback,45701,won,2025-09-16
179,7540,2025-08-13,product_not_received,chargeback,110803,open,
180,7577,2025-04-18,subscription_cancel,chargeback,146525,lost,2025-05-13
181,7607,2025-04-18,product_not_received,chargeback,127301,open,
182,7608,2025-06-29,product_not_received,chargeback,152605,lost,2025-07-20
183,7613,2025-05-28,quality,chargeback,70504,lost,2025-06-27
184,7763,2025-03-25,duplicate,chargeback,131040,won,2025-04-11
185,7799,2025-11-05,subscription_cancel,retrieval_request,19005,won,2025-11-19
186,7840,2025-09-23,quality,chargeback,75674,won,2025-10-23
187,7845,2025-12-14,product_not_received,pre_arbitration,247069,lost,2026-01-04
188,7850,2025-03-19,fraud,chargeback,1409545,won,2025-04-18
189,7909,2025-04-04,product_not_received,chargeback,1846753,open,
190,7923,2025-03-12,fraud,retrieval_request,520711,won,2025-03-22
191,7952,2025-11-04,quality,retrieval_request,83248,won,2025-11-23
192,7977,2025-03-18,quality,retrieval_request,469775,lost,2025-04-14
193,8001,2025-10-21,product_not_received,retrieval_request,90600,lost,2025-11-07
194,8010,2025-03-01,duplicate,retrieval_request,188963,lost,2025-03-24
195,8013,2025-02-18,product_not_received,chargeback,74116,lost,2025-03-08
196,8052,2025-07-04,quality,pre_arbitration,83553,won,2025-07-16
197,8145,2025-09-14,quality,chargeback,272997,won,2025-10-09
198,8154,2025-05-31,quality,pre_arbitration,206086,won,2025-06-29
199,8199,2025-05-19,quality,chargeback,168855,lost,2025-06-01
200,8229,2025-03-01,fraud,chargeback,681504,lost,2025-03-16
201,8322,2026-01-08,quality,chargeback,190859,won,2026-01-29
202,8450,2026-02-02,quality,retrieval_request,1749192,won,2026-02-23
203,8515,2025-12-29,product_not_received,retrieval_request,91030,won,2026-01-08
204,8535,2025-09-28,quality,chargeback,63810,won,2025-10-12
205,8540,2025-04-19,duplicate,chargeback,182959,won,2025-04-28
206,8546,2025-12-17,product_not_received,chargeback,99005,lost,2025-12-27
207,8551,2025-07-23,product_not_received,chargeback,213049,won,2025-08-20
208,8556,2025-11-25,product_not_received,chargeback,50650,open,
209,8603,2025-04-03,product_not_received,chargeback,89027,won,2025-04-17
210,8627,2025-10-17,quality,chargeback,49256,won,2025-10-23
211,8637,2025-08-09,product_not_received,retrieval_request,84875,won,2025-09-04
212,8708,2025-02-06,quality,chargeback,338657,won,2025-02-20
213,8785,2025-11-11,product_not_received,chargeback,61333,won,2025-11-22
214,8803,2025-09-05,fraud,retrieval_request,602085,open,
215,8844,2025-08-30,duplicate,chargeback,726210,won,2025-09-28
216,8863,2025-11-09,subscription_cancel,retrieval_request,163145,won,2025-11-22
217,8927,2025-02-08,subscription_cancel,retrieval_request,38265,won,2025-02-14
218,8932,2025-08-31,product_not_received,chargeback,69511,won,2025-09-06
219,8976,2025-01-30,duplicate,retrieval_request,395152,won,2025-02-20
220,8990,2025-08-07,duplicate,retrieval_request,904332,won,2025-08-29
221,9030,2025-06-12,quality,chargeback,497587,lost,2025-07-10
222,9038,2025-09-14,fraud,chargeback,545737,lost,2025-09-27
223,9042,2025-10-17,quality,chargeback,94192,open,
224,9275,2025-08-11,product_not_received,chargeback,51262,won,2025-09-01
225,9351,2025-03-25,subscription_cancel,retrieval_request,203611,lost,2025-04-24
226,9468,2025-04-08,duplicate,chargeback,1670979,open,
227,9561,2026-01-13,quality,retrieval_request,82979,open,
228,9624,2025-05-16,quality,chargeback,46431,open,
229,9705,2025-04-24,product_not_received,chargeback,241058,open,
230,9726,2025-10-23,quality,pre_arbitration,65671,lost,2025-11-22
231,9740,2026-01-27,product_not_received,pre_arbitration,72199,lost,2026-02-12
232,9741,2025-12-03,fraud,chargeback,875941,open,
233,9756,2025-11-09,product_not_received,chargeback,156521,won,2025-11-20
234,9794,2025-12-20,duplicate,chargeback,31374,won,2026-01-02
235,9814,2025-06-30,quality,chargeback,86016,lost,2025-07-28
236,9893,2025-07-15,duplicate,chargeback,997665,won,2025-08-02
237,9908,2025-07-29,subscription_cancel,chargeback,30648,won,2025-08-14
238,10030,2025-05-14,quality,retrieval_request,441529,lost,2025-06-03
239,10174,2025-09-20,product_not_received,chargeback,84816,open,
240,10188,2025-07-14,product_not_received,chargeback,499724,won,2025-08-04
241,10189,2025-03-10,subscription_cancel,chargeback,206871,won,2025-03-22
242,10200,2025-02-10,duplicate,chargeback,327829,won,2025-03-10
243,10315,2025-05-28,product_not_received,chargeback,453679,won,2025-06-26
244,10335,2025-09-22,duplicate,chargeback,71139,won,2025-10-16
245,10361,2025-11-22,quality,chargeback,103381,won,2025-12-14
246,10423,2025-10-15,quality,pre_arbitration,716257,lost,2025-11-07
247,10587,2025-08-15,quality,chargeback,885394,lost,2025-09-03
248,10590,2025-05-22,fraud,retrieval_request,632651,lost,2025-06-09
249,10599,2025-12-23,quality,retrieval_request,502064,won,2025-12-31
250,10658,2025-03-07,quality,retrieval_request,127533,won,2025-03-25
251,10713,2025-12-23,product_not_received,chargeback,120020,open,
252,10747,2025-11-22,quality,retrieval_request,92194,lost,2025-12-06
253,10758,2025-07-08,quality,chargeback,92385,open,
254,10774,2025-11-22,quality,retrieval_request,291440,lost,2025-12-21
255,10797,2025-08-04,fraud,chargeback,465499,lost,2025-08-21
256,10960,2025-06-02,product_not_received,chargeback,111213,lost,2025-06-27
257,11006,2025-04-17,duplicate,retrieval_request,135537,won,2025-04-27
258,11020,2025-03-08,quality,chargeback,353261,won,2025-03-14
259,11026,2025-07-27,product_not_received,chargeback,69323,lost,2025-08-06
260,11236,2026-01-14,fraud,retrieval_request,1899815,won,2026-02-03
261,11299,2025-07-05,product_not_received,retrieval_request,275807,won,2025-07-10
262,11319,2025-05-19,product_not_received,chargeback,636224,lost,2025-06-15
263,11323,2025-12-30,fraud,chargeback,935515,won,2026-01-11
264,11335,2025-01-11,fraud,pre_arbitration,733254,lost,2025-01-28
265,11338,2025-10-09,product_not_received,chargeback,1756209,won,2025-10-15
266,11366,2025-07-12,quality,chargeback,42264,won,2025-07-22
267,11390,2026-01-16,duplicate,retrieval_request,449749,won,2026-02-03
268,11419,2025-03-20,subscription_cancel,retrieval_request,167618,won,2025-04-12
269,11423,2025-10-11,quality,chargeback,48970,lost,2025-11-10
270,11538,2025-08-16,quality,chargeback,1200908,lost,2025-08-26
271,11589,2025-05-07,quality,retrieval_request,81349,won,2025-06-04
272,11754,2025-06-30,quality,chargeback,2154339,won,2025-07-28
273,11782,2025-10-27,quality,chargeback,177928,won,2025-11-10
274,11809,2025-05-05,duplicate,chargeback,58102,won,2025-06-01
275,11821,2025-06-10,duplicate,pre_arbitration,22165,open,
276,11881,2025-05-01,quality,retrieval_request,194834,lost,2025-05-24
277,11936,2025-09-04,quality,chargeback,1205533,won,2025-09-11
278,11950,2025-08-05,subscription_cancel,chargeback,77464,open,
279,12095,2025-09-03,product_not_received,pre_arbitration,322071,lost,2025-09-15
280,12100,2025-02-27,duplicate,retrieval_request,163905,won,2025-03-22
281,12162,2025-11-05,quality,chargeback,63366,won,2025-11-15
282,12301,2026-01-18,quality,chargeback,13801,lost,2026-01-26
283,12306,2025-04-23,product_not_received,chargeback,274202,won,2025-05-01
284,12314,2025-09-01,subscription_cancel,retrieval_request,197804,won,2025-09-14
285,12335,2025-04-11,duplicate,retrieval_request,126908,won,2025-04-22
286,12352,2025-12-31,product_not_received,retrieval_request,955496,open,
287,12428,2025-06-18,quality,chargeback,32432,won,2025-07-07
288,12433,2025-09-27,product_not_received,retrieval_request,993682,lost,2025-10-08
289,12471,2026-01-17,duplicate,chargeback,167562,won,2026-02-14
290,12483,2025-06-29,fraud,retrieval_request,616864,lost,2025-07-13
291,12510,2026-01-19,quality,pre_arbitration,584515,won,2026-02-16
292,12520,2025-08-30,quality,pre_arbitration,62615,lost,2025-09-17
293,12528,2025-03-18,product_not_received,chargeback,137688,won,2025-04-07
294,12618,2025-06-08,quality,retrieval_request,20025,lost,2025-06-20
295,12629,2025-05-28,product_not_received,chargeback,2961651,lost,2025-06-04
296,12630,2025-08-07,quality,chargeback,194722,open,
297,12642,2026-01-10,duplicate,pre_arbitration,73396,won,2026-01-29
298,12675,2025-05-16,product_not_received,chargeback,1035507,lost,2025-06-01
299,12707,2025-07-05,fraud,chargeback,579670,lost,2025-07-27
300,12752,2026-01-18,duplicate,chargeback,43520,lost,2026-01-29
301,12766,2025-04-05,quality,chargeback,41703,lost,2025-04-28
302,12786,2026-02-06,subscription_cancel,chargeback,104641,open,
303,12950,2025-08-07,quality,chargeback,107282,won,2025-08-12
304,12957,2025-10-10,product_not_received,chargeback,663470,lost,2025-11-05
305,12969,2025-10-04,quality,pre_arbitration,636688,lost,2025-10-12
306,12976,2025-11-11,product_not_received,chargeback,41999,lost,2025-11-24
307,12996,2025-11-15,quality,retrieval_request,153900,lost,2025-11-26
308,13059,2026-01-02,product_not_received,chargeback,95031,lost,2026-01-22
309,13183,2025-05-23,product_not_received,chargeback,95088,lost,2025-06-02
310,13197,2026-01-15,product_not_received,retrieval_request,84166,won,2026-01-27
311,13320,2025-08-10,quality,chargeback,272232,won,2025-08-30
312,13348,2025-05-26,duplicate,chargeback,88987,won,2025-06-15
313,13508,2025-03-30,subscription_cancel,retrieval_request,1188138,won,2025-04-14
314,13534,2025-03-12,product_not_received,retrieval_request,81638,won,2025-04-10
315,13535,2025-05-05,fraud,chargeback,1085375,lost,2025-05-24
316,13609,2025-04-19,subscription_cancel,chargeback,239075,open,
317,13619,2025-10-26,fraud,retrieval_request,483833,won,2025-10-31
318,13643,2026-01-01,duplicate,chargeback,104174,won,2026-01-12
319,13806,2025-11-19,product_not_received,retrieval_request,23793,lost,2025-12-01
320,13821,2025-07-19,quality,retrieval_request,65876,lost,2025-08-14
321,13830,2025-11-08,fraud,chargeback,302497,won,2025-11-13
322,13838,2025-09-24,product_not_received,chargeback,133709,won,2025-10-22
323,13857,2025-11-02,fraud,chargeback,923758,won,2025-11-16
324,13866,2025-02-14,quality,chargeback,19743,won,2025-02-22
325,13908,2025-11-14,duplicate,chargeback,532843,open,
326,13924,2025-06-18,product_not_received,chargeback,195213,open,
327,13953,2025-08-05,product_not_received,retrieval_request,969625,lost,2025-08-10
328,13988,2025-07-06,fraud,retrieval_request,720084,lost,2025-07-12
329,14052,2025-09-11,subscription_cancel,chargeback,84480,open,
330,14173,2025-03-18,product_not_received,retrieval_request,134805,lost,2025-04-13
331,14177,2025-10-20,product_not_received,pre_arbitration,51871,won,2025-10-29
332,14206,2025-12-17,product_not_received,chargeback,195008,won,2026-01-06
333,14343,2025-11-18,subscription_cancel,chargeback,66360,lost,2025-11-25
334,14381,2025-10-30,product_not_received,chargeback,253026,lost,2025-11-22
335,14468,2025-04-27,subscription_cancel,chargeback,49914,open,
336,14479,2025-04-26,fraud,chargeback,906698,open,
337,14502,2025-06-15,duplicate,pre_arbitration,50195,open,
338,14654,2025-09-21,quality,retrieval_request,378508,won,2025-10-18
339,14734,2025-11-24,quality,chargeback,94006,lost,2025-12-08
340,14736,2025-10-16,quality,chargeback,36284,won,2025-10-31
341,14740,2025-01-16,duplicate,chargeback,149221,lost,2025-02-07
342,14831,2025-06-05,product_not_received,retrieval_request,56559,won,2025-06-13
343,14834,2025-06-26,quality,chargeback,131763,lost,2025-07-12
344,14952,2026-01-14,duplicate,chargeback,171046,open,
345,14954,2026-01-28,duplicate,retrieval_request,149988,lost,2026-02-26
346,14981,2025-09-21,product_not_received,retrieval_request,172389,won,2025-10-17
347,14982,2025-09-18,fraud,retrieval_request,1396095,won,2025-10-13
348,15001,2025-10-28,product_not_received,pre_arbitration,44355,won,2025-11-11
349,15021,2025-03-20,duplicate,chargeback,1618257,lost,2025-03-29
350,15068,2025-12-28,fraud,chargeback,1754566,won,2026-01-14
351,15085,2025-12-31,product_not_received,chargeback,405440,won,2026-01-17
352,15089,2025-12-16,product_not_received,chargeback,145473,lost,2026-01-09
353,15141,2026-01-12,fraud,retrieval_request,432217,open,
354,15165,2026-01-02,product_not_received,retrieval_request,157540,lost,2026-01-30
355,15303,2025-05-20,duplicate,pre_arbitration,558349,won,2025-05-28
356,15379,2025-06-07,subscription_cancel,retrieval_request,116618,lost,2025-07-01
357,15450,2025-06-25,product_not_received,chargeback,651107,lost,2025-07-13
358,15566,2025-07-04,product_not_received,pre_arbitration,64597,lost,2025-07-14
359,15573,2025-12-04,product_not_received,chargeback,171162,won,2025-12-27
360,15576,2025-11-01,subscription_cancel,retrieval_request,81804,lost,2025-11-15
361,15658,2025-04-12,quality,retrieval_request,398468,won,2025-05-07
362,15683,2025-04-08,quality,retrieval_request,82559,lost,2025-05-03
363,15735,2025-12-31,quality,chargeback,66865,won,2026-01-09
364,15784,2025-12-06,subscription_cancel,chargeback,26239,open,
365,15861,2025-01-22,subscription_cancel,chargeback,137815,won,2025-02-20
366,15873,2025-07-05,product_not_received,retrieval_request,97335,won,2025-07-10
367,15903,2025-06-24,quality,pre_arbitration,83082,won,2025-07-11
368,15950,2025-05-08,fraud,chargeback,653513,open,
369,15957,2025-10-01,quality,retrieval_request,51434,won,2025-10-11
370,16006,2025-12-27,product_not_received,chargeback,241031,open,
371,16007,2025-09-14,subscription_cancel,retrieval_request,858131,won,2025-10-04
372,16043,2025-11-29,quality,retrieval_request,82553,won,2025-12-05
373,16050,2025-11-08,product_not_received,chargeback,1363128,lost,2025-11-16
374,16076,2025-06-14,quality,pre_arbitration,105867,won,2025-07-13
375,16102,2025-05-18,subscription_cancel,chargeback,68824,won,2025-06-17
376,16107,2025-09-30,subscription_cancel,chargeback,191334,open,
377,16124,2025-08-01,quality,retrieval_request,1004474,lost,2025-08-14
378,16126,2025-07-22,quality,chargeback,455868,open,
379,16157,2025-10-15,duplicate,retrieval_request,139205,lost,2025-10-31
380,16162,2025-04-19,quality,retrieval_request,48241,lost,2025-04-29
381,16269,2025-09-06,product_not_received,chargeback,265499,lost,2025-09-16
382,16280,2025-05-05,product_not_received,retrieval_request,335120,lost,2025-05-15
383,16328,2025-12-25,product_not_received,chargeback,81069,open,
384,16355,2025-04-26,fraud,chargeback,598696,lost,2025-05-04
385,16357,2025-12-19,product_not_received,chargeback,344158,lost,2026-01-16
386,16378,2026-01-30,duplicate,chargeback,135521,won,2026-02-06
387,16427,2025-07-13,duplicate,retrieval_request,140901,lost,2025-07-21
388,16437,2025-08-01,product_not_received,chargeback,86225,lost,2025-08-19
389,16497,2026-02-01,quality,retrieval_request,164778,won,2026-02-12
390,16499,2025-02-24,fraud,chargeback,1397163,won,2025-03-21
391,16512,2025-08-15,product_not_received,chargeback,58050,won,2025-08-27
392,16543,2025-12-31,product_not_received,retrieval_request,626082,lost,2026-01-09
393,16545,2025-12-01,duplicate,chargeback,922560,lost,2025-12-22
394,16554,2025-11-18,quality,chargeback,294151,lost,2025-12-09
395,16561,2026-01-01,quality,chargeback,226480,won,2026-01-12
396,16704,2025-03-31,quality,chargeback,111735,lost,2025-04-18
397,16716,2025-10-20,fraud,chargeback,1026787,won,2025-11-08
398,16786,2025-03-26,quality,pre_arbitration,233928,won,2025-04-04
399,16877,2025-11-22,quality,retrieval_request,82779,lost,2025-12-22
400,16957,2025-08-31,product_not_received,chargeback,84349,won,2025-09-09
401,16960,2025-12-24,product_not_received,chargeback,29039,lost,2026-01-19
402,16968,2025-12-30,quality,retrieval_request,65480,won,2026-01-26
403,16992,2025-12-07,fraud,retrieval_request,490201,open,
