settlement_id,merchant_id,batch_date,settled_ts,gross_amount_uzs,commission_uzs,net_amount_uzs,holdback_uzs
35,2,2025-04-24,2025-04-26 09:00:00,129400,2902,113647,12851
36,2,2025-06-14,2025-06-16 10:00:00,208400,4201,193523,10676
37,2,2025-06-24,2025-06-25 18:00:00,403200,7390,364767,31043
38,2,2025-06-27,2025-06-29 17:00:00,631000,11828,574315,44857
39,2,2025-07-20,2025-07-22 08:00:00,4815900,95147,4320416,400337
40,2,2025-07-25,2025-07-27 06:00:00,438400,9734,395380,33286
41,2,2025-08-01,2025-08-02 06:00:00,920500,21023,817131,82346
42,2,2025-08-03,2025-08-05 15:00:00,448800,8898,400528,39374
43,2,2025-08-12,2025-08-13 18:00:00,312900,6321,284143,22436
44,2,2025-08-23,2025-08-25 14:00:00,181100,3547,160822,16731
45,2,2025-09-05,2025-09-06 12:00:00,399100,9110,368238,21752
46,2,2025-09-18,2025-09-19 15:00:00,469700,11557,430806,27337
47,2,2025-10-06,2025-10-07 19:00:00,980900,23611,861570,95719
48,2,2025-10-16,2025-10-17 16:00:00,521000,12836,463487,44677
49,2,2025-10-23,2025-10-24 06:00:00,1442700,31383,1333127,78190
50,2,2025-10-28,2025-10-30 19:00:00,197800,3574,176403,17823
51,2,2025-11-07,2025-11-08 07:00:00,428700,8812,380490,39398
52,2,2025-11-24,2025-11-26 06:00:00,465000,11292,428629,25079
53,2,2025-11-25,2025-11-27 06:00:00,341100,8477,309826,22797
54,2,2025-12-12,2025-12-14 11:00:00,681500,13789,627892,39819
55,2,2025-12-14,2025-12-17 11:00:00,99200,1969,90718,6513
56,3,2025-01-07,2025-01-08 10:00:00,121600,1175,120425,0
57,3,2025-02-14,2025-02-16 08:00:00,73100,681,72419,0
58,3,2025-02-22,2025-02-24 10:00:00,441700,5038,436662,0
59,3,2025-05-14,2025-05-15 09:00:00,195500,1687,193813,0
60,3,2025-08-11,2025-08-13 06:00:00,49200,405,48795,0
61,3,2025-08-21,2025-08-23 15:00:00,185400,1936,183464,0
62,3,2025-09-05,2025-09-07 18:00:00,306400,2859,303541,0
63,3,2025-09-09,2025-09-10 11:00:00,175300,1753,173547,0
64,3,2025-09-20,2025-09-22 18:00:00,54800,392,54408,0
65,3,2025-11-02,2025-11-03 06:00:00,112200,1115,111085,0
66,3,2025-11-11,2025-11-13 13:00:00,142900,1429,141471,0
67,3,2025-12-11,2025-12-15 17:00:00,88700,1008,87692,0
68,3,2025-12-15,2025-12-19 19:00:00,199700,1971,197729,0
69,4,2025-01-01,2025-01-02 19:00:00,192200,2164,190036,0
70,4,2025-01-02,2025-01-04 17:00:00,176100,2012,174088,0
71,4,2025-02-02,2025-02-04 08:00:00,60700,494,60206,0
72,4,2025-04-05,2025-04-06 11:00:00,110100,863,109237,0
73,4,2025-04-09,2025-04-10 12:00:00,120600,1363,119237,0
74,4,2025-05-17,2025-05-19 06:00:00,35600,410,35190,0
75,4,2025-06-05,2025-06-07 14:00:00,151400,1093,150307,0
76,4,2025-07-09,2025-07-10 16:00:00,477800,5594,472206,0
77,4,2025-07-27,2025-07-28 13:00:00,42600,384,42216,0
78,4,2025-08-07,2025-08-08 10:00:00,72600,513,72087,0
79,4,2025-08-12,2025-08-13 07:00:00,150400,1719,148681,0
80,4,2025-08-27,2025-08-29 19:00:00,242600,2469,240131,0
81,4,2025-09-02,2025-09-04 13:00:00,39900,317,39583,0
82,4,2025-09-15,2025-09-17 14:00:00,303000,3235,299765,0
83,4,2025-09-23,2025-09-24 18:00:00,103300,937,102363,0
84,4,2025-10-10,2025-10-12 13:00:00,189600,1759,187841,0
85,4,2025-10-19,2025-10-21 12:00:00,35900,385,35515,0
86,4,2025-10-24,2025-10-25 12:00:00,151900,1405,150495,0
87,4,2025-11-24,2025-11-26 11:00:00,201000,2370,198630,0
88,4,2025-12-11,2025-12-14 10:00:00,93600,1108,92492,0
89,5,2025-02-21,2025-02-22 09:00:00,107100,1002,106098,0
90,5,2025-03-07,2025-03-08 12:00:00,150400,1059,149341,0
91,5,2025-04-05,2025-04-06 06:00:00,34900,319,34581,0
92,5,2025-05-05,2025-05-07 18:00:00,75600,658,74942,0
93,5,2025-05-28,2025-05-30 06:00:00,101300,818,100482,0
94,5,2025-06-09,2025-06-11 11:00:00,51200,418,50782,0
95,5,2025-07-09,2025-07-11 16:00:00,41300,477,40823,0
96,5,2025-07-19,2025-07-21 16:00:00,77700,867,76833,0
97,5,2025-12-23,2025-12-27 09:00:00,19200,135,19065,0
98,5,2025-12-26,2025-12-29 09:00:00,275500,2310,273190,0
99,6,2025-05-06,2025-05-07 18:00:00,23700,224,23476,0
100,6,2025-06-05,2025-06-07 15:00:00,6600,71,6529,0
101,6,2025-07-16,2025-07-17 08:00:00,97200,1039,96161,0
102,6,2025-07-24,2025-07-25 08:00:00,59100,670,58430,0
103,6,2025-08-03,2025-08-05 17:00:00,245000,2596,242404,0
104,6,2025-09-22,2025-09-24 19:00:00,48500,539,47961,0
105,6,2025-10-09,2025-10-11 18:00:00,99300,813,98487,0
106,6,2025-11-09,2025-11-11 19:00:00,62200,464,61736,0
107,6,2025-12-15,2025-12-18 10:00:00,51800,537,51263,0
108,6,2025-12-18,2025-12-21 11:00:00,77300,564,76736,0
109,7,2025-01-01,2025-01-03 19:00:00,110400,954,109446,0
110,7,2025-01-05,2025-01-06 11:00:00,94100,752,93348,0
111,7,2025-01-09,2025-01-10 19:00:00,188800,1856,186944,0
112,7,2025-01-22,2025-01-24 09:00:00,80100,606,79494,0
113,7,2025-01-24,2025-01-26 09:00:00,88400,1007,87393,0
114,7,2025-01-27,2025-01-29 15:00:00,29200,228,28972,0
115,7,2025-02-17,2025-02-18 18:00:00,52400,398,52002,0
116,7,2025-02-18,2025-02-19 14:00:00,17500,175,17325,0
117,7,2025-03-17,2025-03-18 13:00:00,78200,900,77300,0
118,7,2025-03-25,2025-03-26 12:00:00,89400,735,88665,0
119,7,2025-04-16,2025-04-18 14:00:00,43200,418,42782,0
120,7,2025-04-20,2025-04-22 07:00:00,100200,1092,99108,0
121,7,2025-04-27,2025-04-29 12:00:00,69800,685,69115,0
122,7,2025-04-28,2025-04-30 17:00:00,72800,526,72274,0
123,7,2025-05-04,2025-05-06 15:00:00,139300,1643,137657,0
124,7,2025-05-11,2025-05-13 11:00:00,229600,1607,227993,0
125,7,2025-05-26,2025-05-27 13:00:00,85900,960,84940,0
126,7,2025-06-05,2025-06-06 09:00:00,73200,710,72490,0
127,7,2025-06-14,2025-06-16 07:00:00,338500,3455,335045,0
128,7,2025-06-16,2025-06-17 10:00:00,73000,771,72229,0
129,7,2025-07-07,2025-07-09 19:00:00,62000,702,61298,0
130,7,2025-07-08,2025-07-09 15:00:00,48000,531,47469,0
131,7,2025-07-23,2025-07-25 14:00:00,53400,552,52848,0
132,7,2025-08-05,2025-08-06 15:00:00,93700,677,93023,0
133,7,2025-08-06,2025-08-08 08:00:00,50800,425,50375,0
134,7,2025-08-09,2025-08-10 15:00:00,125400,1307,124093,0
135,7,2025-08-16,2025-08-18 11:00:00,84000,956,83044,0
136,7,2025-08-28,2025-08-30 10:00:00,67600,479,67121,0
137,7,2025-09-03,2025-09-05 06:00:00,112400,1140,111260,0
138,7,2025-09-27,2025-09-28 18:00:00,50900,421,50479,0
139,7,2025-10-11,2025-10-12 06:00:00,312000,3496,308504,0
140,7,2025-10-19,2025-10-21 16:00:00,116500,1352,115148,0
141,7,2025-11-01,2025-11-03 08:00:00,63500,525,62975,0
142,7,2025-11-07,2025-11-09 15:00:00,173300,1406,171894,0
143,7,2025-11-27,2025-11-28 16:00:00,46000,407,45593,0
144,7,2025-12-02,2025-12-06 08:00:00,275500,2185,273315,0
145,7,2025-12-08,2025-12-11 16:00:00,118000,972,117028,0
146,7,2025-12-09,2025-12-13 08:00:00,183600,1973,181627,0
147,7,2025-12-10,2025-12-13 17:00:00,111800,1132,110668,0
148,7,2025-12-12,2025-12-16 18:00:00,73700,565,73135,0
149,7,2025-12-14,2025-12-18 19:00:00,84300,891,83409,0
150,7,2025-12-17,2025-12-19 08:00:00,227100,2475,224625,0
151,8,2025-03-14,2025-03-16 16:00:00,218300,2236,216064,0
152,8,2025-05-17,2025-05-19 14:00:00,58600,459,58141,0
153,8,2025-05-24,2025-05-25 12:00:00,86200,1027,85173,0
154,8,2025-06-09,2025-06-11 18:00:00,102900,1172,101728,0
155,8,2025-07-20,2025-07-21 09:00:00,83100,891,82209,0
156,8,2025-07-27,2025-07-28 11:00:00,24500,280,24220,0
157,8,2025-11-19,2025-11-20 17:00:00,104300,933,103367,0
158,8,2025-12-15,2025-12-18 19:00:00,233100,2537,230563,0
159,8,2025-12-23,2025-12-26 09:00:00,175200,1558,173642,0
160,10,2025-02-15,2025-02-16 16:00:00,338800,8378,313413,17009
161,10,2025-03-02,2025-03-04 16:00:00,368600,7240,336686,24674
162,10,2025-03-06,2025-03-08 15:00:00,81600,1578,73077,6945
163,10,2025-04-26,2025-04-28 13:00:00,494500,11152,457106,26242
164,10,2025-05-01,2025-05-03 19:00:00,638700,14883,573271,50546
165,10,2025-05-16,2025-05-18 18:00:00,367600,8779,337281,21540
166,10,2025-09-17,2025-09-18 15:00:00,916800,21803,816617,78380
167,10,2025-10-17,2025-10-19 17:00:00,567700,14124,509615,43961
168,10,2025-10-24,2025-10-26 12:00:00,318300,7674,284210,26416
169,10,2025-12-25,2025-12-29 09:00:00,1037400,25127,915567,96706
170,11,2025-02-04,2025-02-05 11:00:00,368300,5530,362770,0
171,11,2025-02-18,2025-02-20 15:00:00,842500,11206,831294,0
172,11,2025-02-19,2025-02-21 14:00:00,211400,3585,207815,0
173,11,2025-03-02,2025-03-04 14:00:00,347100,5568,341532,0
174,11,2025-03-24,2025-03-26 06:00:00,382200,6245,375955,0
175,11,2025-04-13,2025-04-14 16:00:00,190500,2531,187969,0
176,11,2025-04-18,2025-04-19 17:00:00,240200,3744,236456,0
177,11,2025-05-19,2025-05-21 07:00:00,100400,1475,98925,0
178,11,2025-05-25,2025-05-26 11:00:00,424600,7454,417146,0
179,11,2025-06-06,2025-06-07 18:00:00,219400,2740,216660,0
180,11,2025-06-07,2025-06-09 11:00:00,214200,3846,210354,0
181,11,2025-06-15,2025-06-17 10:00:00,288500,3796,284704,0
182,11,2025-07-04,2025-07-06 17:00:00,400700,5360,395340,0
183,11,2025-07-06,2025-07-08 09:00:00,142200,1831,140369,0
184,11,2025-07-17,2025-07-18 07:00:00,443600,5806,437794,0
185,11,2025-07-18,2025-07-19 07:00:00,290900,4528,286372,0
186,11,2025-07-22,2025-07-23 12:00:00,88800,1102,87698,0
187,11,2025-07-25,2025-07-26 19:00:00,107400,1408,105992,0
188,11,2025-08-02,2025-08-03 07:00:00,70300,987,69313,0
189,11,2025-08-08,2025-08-09 18:00:00,318400,4286,314114,0
190,11,2025-08-14,2025-08-16 18:00:00,229000,3243,225757,0
191,11,2025-08-22,2025-08-24 12:00:00,127600,2164,125436,0
192,11,2025-08-23,2025-08-24 08:00:00,1556800,22235,1534565,0
193,11,2025-08-28,2025-08-29 19:00:00,461300,6716,454584,0
194,11,2025-09-04,2025-09-06 08:00:00,136600,2063,134537,0
195,11,2025-09-05,2025-09-06 16:00:00,511700,8189,503511,0
196,11,2025-09-06,2025-09-08 12:00:00,190000,3294,186706,0
197,11,2025-09-12,2025-09-13 10:00:00,488000,5958,482042,0
198,11,2025-09-15,2025-09-16 11:00:00,231700,3768,227932,0
199,11,2025-09-23,2025-09-25 10:00:00,325900,5284,320616,0
200,11,2025-09-26,2025-09-28 07:00:00,142900,2485,140415,0
201,11,2025-10-01,2025-10-03 16:00:00,163400,2677,160723,0
202,11,2025-10-03,2025-10-05 08:00:00,208600,3562,205038,0
203,11,2025-10-08,2025-10-10 08:00:00,124100,1849,122251,0
204,11,2025-10-14,2025-10-15 15:00:00,120500,2114,118386,0
205,11,2025-10-27,2025-10-28 13:00:00,373300,5785,367515,0
206,11,2025-11-04,2025-11-06 12:00:00,48400,669,47731,0
207,11,2025-11-26,2025-11-28 16:00:00,506800,8501,498299,0
208,11,2025-12-08,2025-12-11 06:00:00,484300,7002,477298,0
209,11,2025-12-09,2025-12-14 09:00:00,362500,5674,356826,0
210,11,2025-12-17,2025-12-21 12:00:00,101200,1447,99753,0
211,11,2025-12-20,2025-12-22 10:00:00,115000,1613,113387,0
212,11,2025-12-25,2025-12-29 19:00:00,250800,3265,247535,0
213,11,2025-12-26,2025-12-29 11:00:00,124000,1939,122061,0
214,12,2025-01-27,2025-01-29 11:00:00,134900,1992,132908,0
215,12,2025-02-12,2025-02-14 10:00:00,656300,8485,647815,0
216,12,2025-03-08,2025-03-09 15:00:00,213500,3666,209834,0
217,12,2025-03-21,2025-03-23 10:00:00,79200,1322,77878,0
218,12,2025-03-23,2025-03-25 12:00:00,441500,7435,434065,0
219,12,2025-04-02,2025-04-03 06:00:00,148700,2007,146693,0
220,12,2025-04-14,2025-04-16 08:00:00,509400,6543,502857,0
221,12,2025-05-01,2025-05-03 14:00:00,93000,1314,91686,0
222,12,2025-05-06,2025-05-08 07:00:00,208300,3174,205126,0
223,12,2025-05-10,2025-05-12 16:00:00,896500,15210,881290,0
224,12,2025-05-28,2025-05-30 19:00:00,317100,5325,311775,0
225,12,2025-06-01,2025-06-03 07:00:00,109900,1399,108501,0
226,12,2025-06-03,2025-06-05 17:00:00,273900,3910,269990,0
227,12,2025-06-23,2025-06-24 08:00:00,81400,1410,79990,0
228,12,2025-06-24,2025-06-26 07:00:00,468100,6610,461490,0
229,12,2025-06-25,2025-06-26 16:00:00,263100,4473,258627,0
230,12,2025-07-02,2025-07-03 16:00:00,137600,1737,135863,0
231,12,2025-07-17,2025-07-19 12:00:00,85500,1319,84181,0
232,12,2025-07-18,2025-07-19 08:00:00,158900,2479,156421,0
233,12,2025-07-20,2025-07-21 10:00:00,332100,4156,327944,0
234,12,2025-07-21,2025-07-22 14:00:00,25200,415,24785,0
235,12,2025-08-09,2025-08-10 18:00:00,619700,11092,608608,0
236,12,2025-08-12,2025-08-14 08:00:00,219600,2816,216784,0
237,12,2025-08-14,2025-08-16 11:00:00,421600,6538,415062,0
238,12,2025-08-21,2025-08-23 14:00:00,311500,4780,306720,0
239,12,2025-08-28,2025-08-30 09:00:00,526900,6936,519964,0
240,12,2025-09-11,2025-09-13 08:00:00,491800,6481,485319,0
241,12,2025-09-14,2025-09-16 15:00:00,79600,985,78615,0
242,12,2025-09-17,2025-09-19 13:00:00,192900,2630,190270,0
243,12,2025-09-20,2025-09-22 07:00:00,149100,2009,147091,0
244,12,2025-09-21,2025-09-23 11:00:00,136100,1692,134408,0
245,12,2025-09-26,2025-09-27 18:00:00,44700,743,43957,0
246,12,2025-10-14,2025-10-15 19:00:00,108500,1794,106706,0
247,12,2025-10-26,2025-10-27 19:00:00,175000,2116,172884,0
248,12,2025-10-28,2025-10-29 14:00:00,257000,4238,252762,0
249,12,2025-11-05,2025-11-07 19:00:00,614800,9739,605061,0
250,12,2025-11-07,2025-11-09 07:00:00,366400,5571,360829,0
251,12,2025-11-10,2025-11-11 11:00:00,23800,307,23493,0
252,12,2025-11-13,2025-11-15 19:00:00,1759100,31036,1728064,0
253,12,2025-11-19,2025-11-20 16:00:00,92200,1159,91041,0
254,12,2025-11-21,2025-11-23 17:00:00,314400,5474,308926,0
255,12,2025-11-22,2025-11-24 13:00:00,418200,5217,412983,0
256,12,2025-12-02,2025-12-04 19:00:00,144500,1813,142687,0
257,12,2025-12-16,2025-12-20 12:00:00,757700,9157,748543,0
258,12,2025-12-20,2025-12-24 15:00:00,269700,3956,265744,0
259,12,2025-12-23,2025-12-25 16:00:00,42400,532,41868,0
260,12,2025-12-24,2025-12-28 08:00:00,302900,5065,297835,0
261,12,2025-12-26,2025-12-29 14:00:00,59900,954,58946,0
262,14,2025-01-17,2025-01-18 08:00:00,36000,282,35718,0
263,14,2025-02-04,2025-02-06 16:00:00,26600,283,26317,0
264,14,2025-02-19,2025-02-21 13:00:00,38500,299,38201,0
265,14,2025-03-06,2025-03-07 11:00:00,79900,865,79035,0
266,14,2025-03-10,2025-03-12 12:00:00,67900,555,67345,0
267,14,2025-03-13,2025-03-15 19:00:00,110800,943,109857,0
268,14,2025-04-10,2025-04-12 13:00:00,89100,757,88343,0
269,14,2025-04-20,2025-04-21 12:00:00,37100,298,36802,0
270,14,2025-05-05,2025-05-07 09:00:00,79400,841,78559,0
271,14,2025-05-09,2025-05-10 17:00:00,92100,744,91356,0
272,14,2025-05-18,2025-05-19 07:00:00,106900,996,105904,0
273,14,2025-05-19,2025-05-20 12:00:00,51500,487,51013,0
274,14,2025-06-12,2025-06-14 10:00:00,36100,370,35730,0
275,14,2025-06-20,2025-06-22 19:00:00,89200,679,88521,0
276,14,2025-06-23,2025-06-24 10:00:00,58100,626,57474,0
277,14,2025-07-17,2025-07-18 10:00:00,38900,460,38440,0
278,14,2025-08-09,2025-08-10 06:00:00,45700,371,45329,0
279,14,2025-09-02,2025-09-04 18:00:00,119300,1302,117998,0
280,14,2025-09-18,2025-09-20 06:00:00,70700,731,69969,0
281,14,2025-09-25,2025-09-27 15:00:00,85600,695,84905,0
282,14,2025-10-13,2025-10-14 08:00:00,21700,189,21511,0
283,14,2025-10-22,2025-10-23 19:00:00,81400,609,80791,0
284,14,2025-10-23,2025-10-24 13:00:00,84900,782,84118,0
285,14,2025-10-27,2025-10-29 19:00:00,297800,2225,295575,0
286,14,2025-11-20,2025-11-22 11:00:00,75000,602,74398,0
287,14,2025-11-24,2025-11-26 19:00:00,33900,266,33634,0
288,14,2025-11-25,2025-11-26 08:00:00,14200,144,14056,0
289,14,2025-12-18,2025-12-20 07:00:00,38000,286,37714,0
290,14,2025-12-23,2025-12-26 08:00:00,178300,1450,176850,0
291,15,2025-01-13,2025-01-14 06:00:00,265100,5030,243556,16514
292,15,2025-02-06,2025-02-07 17:00:00,299500,7143,262717,29640
293,15,2025-02-21,2025-02-22 13:00:00,575500,13332,523774,38394
294,15,2025-03-16,2025-03-17 08:00:00,421000,9591,375034,36375
295,15,2025-03-23,2025-03-25 15:00:00,278300,5777,254678,17845
296,15,2025-04-08,2025-04-09 17:00:00,345100,8250,302552,34298
297,15,2025-05-05,2025-05-06 10:00:00,339800,8439,298316,33045
298,15,2025-05-27,2025-05-29 09:00:00,261400,6493,233351,21556
299,15,2025-06-19,2025-06-21 18:00:00,609300,13547,548930,46823
300,15,2025-07-13,2025-07-14 07:00:00,810500,15423,729176,65901
301,15,2025-07-23,2025-07-25 08:00:00,407100,9011,376288,21801
302,15,2025-07-26,2025-07-27 11:00:00,843300,15941,780921,46438
303,15,2025-08-01,2025-08-02 07:00:00,628000,11458,553886,62656
304,15,2025-08-05,2025-08-06 18:00:00,1259400,28275,1167167,63958
305,15,2025-08-13,2025-08-15 13:00:00,638600,11503,578472,48625
306,15,2025-09-15,2025-09-16 10:00:00,510900,9569,470453,30878
307,15,2025-09-28,2025-09-30 14:00:00,625000,12576,578750,33674
308,15,2025-10-11,2025-10-13 13:00:00,648100,11712,577142,59246
309,15,2025-11-17,2025-11-19 12:00:00,672300,15587,598510,58203
310,15,2025-11-23,2025-11-24 10:00:00,422100,9492,390347,22261
311,15,2025-12-07,2025-12-10 08:00:00,229500,4200,212139,13161
312,15,2025-12-12,2025-12-14 17:00:00,261100,5745,232879,22476
313,15,2025-12-13,2025-12-18 14:00:00,284400,6165,252152,26083
314,15,2025-12-25,2025-12-29 09:00:00,314300,7243,278261,28796
315,16,2025-02-13,2025-02-15 19:00:00,85900,937,84963,0
316,16,2025-02-22,2025-02-23 15:00:00,60100,466,59634,0
317,16,2025-03-04,2025-03-05 06:00:00,237500,2434,235066,0
318,16,2025-03-17,2025-03-18 08:00:00,64400,476,63924,0
319,16,2025-05-08,2025-05-09 12:00:00,83300,599,82701,0
320,16,2025-05-11,2025-05-12 08:00:00,56100,638,55462,0
321,16,2025-07-02,2025-07-04 15:00:00,44800,443,44357,0
322,16,2025-07-18,2025-07-19 09:00:00,125800,1393,124407,0
323,16,2025-08-12,2025-08-13 11:00:00,122800,1011,121789,0
324,16,2025-08-16,2025-08-18 07:00:00,52700,459,52241,0
325,16,2025-09-12,2025-09-13 15:00:00,46500,405,46095,0
326,16,2025-10-18,2025-10-20 14:00:00,74400,724,73676,0
327,16,2025-12-10,2025-12-13 18:00:00,70700,815,69885,0
328,17,2025-02-06,2025-02-07 13:00:00,58600,687,57913,0
329,17,2025-04-23,2025-04-25 19:00:00,131500,962,130538,0
330,17,2025-06-11,2025-06-12 16:00:00,192400,2054,190346,0
331,17,2025-07-25,2025-07-26 07:00:00,202600,2006,200594,0
332,17,2025-08-09,2025-08-10 10:00:00,138300,1656,136644,0
333,17,2025-12-07,2025-12-12 06:00:00,45800,526,45274,0
334,17,2025-12-14,2025-12-18 10:00:00,152900,1276,151624,0
335,18,2025-01-06,2025-01-07 19:00:00,218900,2487,216413,0
336,18,2025-01-16,2025-01-18 06:00:00,19300,151,19149,0
337,18,2025-01-19,2025-01-21 08:00:00,50900,507,50393,0
338,18,2025-01-23,2025-01-24 17:00:00,15400,137,15263,0
339,18,2025-01-25,2025-01-26 09:00:00,69300,633,68667,0
340,18,2025-01-27,2025-01-28 15:00:00,176600,1461,175139,0
341,18,2025-02-01,2025-02-03 07:00:00,47800,464,47336,0
342,18,2025-02-02,2025-02-04 19:00:00,132000,945,131055,0
343,18,2025-02-09,2025-02-10 11:00:00,56600,620,55980,0
344,18,2025-02-10,2025-02-12 11:00:00,70700,808,69892,0
345,18,2025-02-11,2025-02-13 09:00:00,65100,604,64496,0
346,18,2025-02-17,2025-02-18 06:00:00,143200,1564,141636,0
347,18,2025-02-20,2025-02-21 17:00:00,307200,2871,304329,0
348,18,2025-02-27,2025-03-01 12:00:00,55700,653,55047,0
349,18,2025-03-06,2025-03-07 16:00:00,145500,1293,144207,0
350,18,2025-03-07,2025-03-08 10:00:00,100500,1061,99439,0
351,18,2025-03-17,2025-03-19 06:00:00,56000,613,55387,0
352,18,2025-03-19,2025-03-20 11:00:00,153600,1107,152493,0
353,18,2025-03-25,2025-03-27 06:00:00,154600,1687,152913,0
354,18,2025-03-26,2025-03-28 07:00:00,172400,1250,171150,0
355,18,2025-04-04,2025-04-05 06:00:00,71000,548,70452,0
356,18,2025-04-05,2025-04-06 08:00:00,90700,855,89845,0
357,18,2025-04-12,2025-04-14 17:00:00,49500,426,49074,0
358,18,2025-04-13,2025-04-14 06:00:00,137000,1395,135605,0
359,18,2025-04-21,2025-04-23 17:00:00,77500,663,76837,0
360,18,2025-04-22,2025-04-23 16:00:00,72200,652,71548,0
361,18,2025-04-26,2025-04-27 07:00:00,109900,1044,108856,0
362,18,2025-05-02,2025-05-04 07:00:00,90700,955,89745,0
363,18,2025-05-03,2025-05-05 14:00:00,53000,521,52479,0
364,18,2025-05-05,2025-05-07 07:00:00,142700,1123,141577,0
365,18,2025-05-06,2025-05-08 13:00:00,36400,360,36040,0
366,18,2025-05-09,2025-05-10 12:00:00,122600,1175,121425,0
367,18,2025-05-14,2025-05-15 08:00:00,46900,473,46427,0
368,18,2025-05-15,2025-05-17 06:00:00,162900,1201,161699,0
369,18,2025-05-22,2025-05-23 18:00:00,73500,825,72675,0
370,18,2025-06-01,2025-06-03 16:00:00,225100,2327,222773,0
371,18,2025-06-02,2025-06-03 16:00:00,89200,1063,88137,0
372,18,2025-06-04,2025-06-06 11:00:00,102300,1197,101103,0
373,18,2025-06-05,2025-06-06 11:00:00,127300,1068,126232,0
374,18,2025-06-08,2025-06-10 16:00:00,27200,304,26896,0
375,18,2025-06-16,2025-06-18 17:00:00,60000,486,59514,0
376,18,2025-06-23,2025-06-25 12:00:00,29300,346,28954,0
377,18,2025-07-11,2025-07-12 07:00:00,218900,2061,216839,0
378,18,2025-07-15,2025-07-17 09:00:00,74200,797,73403,0
379,18,2025-07-17,2025-07-19 15:00:00,136000,1199,134801,0
380,18,2025-07-23,2025-07-24 16:00:00,85200,777,84423,0
381,18,2025-08-02,2025-08-04 08:00:00,146100,1561,144539,0
382,18,2025-08-03,2025-08-04 07:00:00,41100,333,40767,0
383,18,2025-08-07,2025-08-09 17:00:00,139200,1518,137682,0
384,18,2025-08-09,2025-08-10 09:00:00,99400,1162,98238,0
385,18,2025-08-10,2025-08-11 06:00:00,147400,1712,145688,0
386,18,2025-08-16,2025-08-17 17:00:00,187000,2107,184893,0
387,18,2025-08-20,2025-08-22 09:00:00,52400,384,52016,0
388,18,2025-08-22,2025-08-23 17:00:00,160800,1562,159238,0
389,18,2025-08-25,2025-08-26 14:00:00,84700,923,83777,0
390,18,2025-08-28,2025-08-29 17:00:00,124200,1286,122914,0
391,18,2025-09-01,2025-09-03 07:00:00,72900,697,72203,0
392,18,2025-09-05,2025-09-07 16:00:00,191000,1449,189551,0
393,18,2025-09-11,2025-09-13 11:00:00,50800,560,50240,0
394,18,2025-09-12,2025-09-13 06:00:00,20900,218,20682,0
395,18,2025-09-18,2025-09-20 19:00:00,62600,738,61862,0
396,18,2025-09-22,2025-09-24 11:00:00,135000,1122,133878,0
397,18,2025-09-24,2025-09-26 11:00:00,382600,2804,379796,0
398,18,2025-09-26,2025-09-28 10:00:00,223100,2633,220467,0
